ip,protocol,port,state,service,version,vuln_id,vuln_title,cvss_score,vuln_desc
192.168.252.209,tcp,1,no-response,,,,,,
192.168.252.209,tcp,3,no-response,,,,,,
192.168.252.209,tcp,4,no-response,,,,,,
192.168.252.209,tcp,6,no-response,,,,,,
192.168.252.209,tcp,7,no-response,,,,,,
192.168.252.209,tcp,9,no-response,,,,,,
192.168.252.209,tcp,13,no-response,,,,,,
192.168.252.209,tcp,17,no-response,,,,,,
192.168.252.209,tcp,19,no-response,,,,,,
192.168.252.209,tcp,20,no-response,,,,,,
192.168.252.209,tcp,21,open,ftp,,,"
       vsFTPd version 2.3.4 backdoor
      ",,
192.168.252.209,tcp,22,open,ssh,,,,,
192.168.252.209,tcp,23,open,telnet,,,,,
192.168.252.209,tcp,24,no-response,,,,,,
192.168.252.209,tcp,25,open,smtp,,,"
       SSL POODLE information leak
      ",,
192.168.252.209,tcp,26,no-response,,,,,,
192.168.252.209,tcp,30,no-response,,,,,,
192.168.252.209,tcp,32,no-response,,,,,,
192.168.252.209,tcp,33,no-response,,,,,,
192.168.252.209,tcp,37,no-response,,,,,,
192.168.252.209,tcp,42,no-response,,,,,,
192.168.252.209,tcp,43,no-response,,,,,,
192.168.252.209,tcp,49,no-response,,,,,,
192.168.252.209,tcp,53,open,domain,,,,,
192.168.252.209,tcp,70,no-response,,,,,,
192.168.252.209,tcp,79,no-response,,,,,,
192.168.252.209,tcp,80,open,http,,,,,
192.168.252.209,tcp,81,no-response,,,,,,
192.168.252.209,tcp,82,no-response,,,,,,
192.168.252.209,tcp,83,no-response,,,,,,
192.168.252.209,tcp,84,no-response,,,,,,
192.168.252.209,tcp,85,no-response,,,,,,
192.168.252.209,tcp,88,no-response,,,,,,
192.168.252.209,tcp,89,no-response,,,,,,
192.168.252.209,tcp,90,no-response,,,,,,
192.168.252.209,tcp,99,no-response,,,,,,
192.168.252.209,tcp,100,no-response,,,,,,
192.168.252.209,tcp,106,no-response,,,,,,
192.168.252.209,tcp,109,no-response,,,,,,
192.168.252.209,tcp,110,no-response,,,,,,
192.168.252.209,tcp,111,open,rpcbind,,,,,
192.168.252.209,tcp,113,no-response,,,,,,
192.168.252.209,tcp,119,no-response,,,,,,
192.168.252.209,tcp,125,no-response,,,,,,
192.168.252.209,tcp,135,no-response,,,,,,
192.168.252.209,tcp,139,open,netbios-ssn,,,,,
192.168.252.209,tcp,143,no-response,,,,,,
192.168.252.209,tcp,144,no-response,,,,,,
192.168.252.209,tcp,146,no-response,,,,,,
192.168.252.209,tcp,161,no-response,,,,,,
