port,protocol,service,product,version,cpe,script_id,title,state,description,cve_list,cvss_list,ref_links,exploit_id,exploit_type,exploit_cvss,is_exploit,cvss_score_moyen
21,tcp,ftp,vsftpd,2.3.4,cpe:/a:vsftpd:vsftpd:2.3.4,vulners,,,,CVE-2011-2523,"10.0, 9.8, 2.3",,1337DAY-ID-36095,zdt,9.8,True,7.366666666666667
21,tcp,ftp,vsftpd,2.3.4,cpe:/a:vsftpd:vsftpd:2.3.4,vulners,,,,CVE-2011-2523,"10.0, 9.8, 2.3",,PACKETSTORM:162145,packetstorm,10.0,True,7.366666666666667
21,tcp,ftp,vsftpd,2.3.4,cpe:/a:vsftpd:vsftpd:2.3.4,vulners,,,,CVE-2011-2523,"10.0, 9.8, 2.3",,EDB-ID:49757,exploitdb,10.0,True,7.366666666666667
21,tcp,ftp,vsftpd,2.3.4,cpe:/a:vsftpd:vsftpd:2.3.4,vulners,,,,CVE-2011-2523,"10.0, 9.8, 2.3",,E9B0AEBB-5138-50BF-8922-2D87E3C046DD,githubexploit,10.0,True,7.366666666666667
21,tcp,ftp,vsftpd,2.3.4,cpe:/a:vsftpd:vsftpd:2.3.4,vulners,,,,CVE-2011-2523,"10.0, 9.8, 2.3",,CVE-2011-2523,cve,10.0,False,7.366666666666667
21,tcp,ftp,vsftpd,2.3.4,cpe:/a:vsftpd:vsftpd:2.3.4,vulners,,,,CVE-2011-2523,"10.0, 9.8, 2.3",,CC3F6C15-182F-53F6-A5CC-812D37F1F047,githubexploit,10.0,True,7.366666666666667
21,tcp,ftp,vsftpd,2.3.4,cpe:/a:vsftpd:vsftpd:2.3.4,vulners,,,,CVE-2011-2523,"10.0, 9.8, 2.3",,5F4BCEDE-77DF-5D54-851A-0AE8B76458D9,githubexploit,10.0,True,7.366666666666667
21,tcp,ftp,vsftpd,2.3.4,cpe:/a:vsftpd:vsftpd:2.3.4,vulners,,,,CVE-2011-2523,"10.0, 9.8, 2.3",,50580586-73C4-5097-81CA-546D6591DF44,githubexploit,10.0,True,7.366666666666667
21,tcp,ftp,vsftpd,2.3.4,cpe:/a:vsftpd:vsftpd:2.3.4,vulners,,,,CVE-2011-2523,"10.0, 9.8, 2.3",,1337DAY-ID-36095,zdt,9.8,True,7.366666666666667
22,tcp,ssh,OpenSSH,4.7p1 Debian 8ubuntu1,cpe:/a:openbsd:openssh:4.7p1,vulners,,,,"CVE-2016-10010, CVE-2016-3115, CVE-2011-5000, CVE-2008-1657, CVE-2016-1908, CVE-2015-6564, CVE-2018-20685, CVE-2015-5352, CVE-2012-0814, CVE-2023-48795, CVE-2023-38408, CVE-2020-15778, CVE-2010-4755, CVE-2016-6515, CVE-2015-8325, CVE-2016-10012, CVE-2015-5600, CVE-2017-15906, CVE-2021-36368, CVE-2019-6109, CVE-2016-10708, CVE-2016-20012, CVE-2016-10009, CVE-2016-6210, CVE-2023-51385, CVE-2025-61985, CVE-2011-4327, CVE-2019-6111, CVE-2014-2532, CVE-2025-61984, CVE-2010-4478, CVE-2010-5107, CVE-2015-6563, CVE-2018-15473, CVE-2008-3259, CVE-2014-1692, CVE-2016-10011, CVE-2019-6110, CVE-2014-2653","2.1, 10.0, 0.0, 5.3, 8.1, 3.6, 3.7, 4.3, 7.8, 1.9, 5.8, 4.0, 3.5, 8.5, 7.2, 6.5, 5.0, 6.9, 5.5, 1.2, 7.0, 7.5, 6.8, 9.8, 6.4, 5.9",,1337DAY-ID-14373,zdt,0.0,True,5.550000000000001
